feature,mean_importance
Abortion Edit Indicator,0.0
APR Severity of Illness Description,5.808151220578761e-05
APR Medical Surgical Description,0.0009222789200292514
Type of Admission,0.0009569990465238875
Health Service Area,0.0014000160267171546
Length of Stay,0.001553474588456849
Hospital County,0.0017035299261859206
Emergency Department Indicator,0.002290492631961305
Ethnicity,0.002455782849029453
Payment Typology 3,0.0025993948372178056
CCS Procedure Code,0.003995549503821439
Gender,0.004321750037470329
CCS Procedure Description,0.004482316337623993
Zip Code - 3 digits,0.005720443957115217
Race,0.006112521130361514
Total Costs,0.00785318486897062
Facility Id,0.008102887026387817
Facility Name,0.010972337226966156
Operating Certificate Number,0.01100689998748312
APR DRG Code,0.011812969293097875
APR DRG Description,0.016600805055877865
Total Charges,0.017683905385728792
CCS Diagnosis Description,0.01801504633586961
APR Severity of Illness Code,0.02646504032940733
CCS Diagnosis Code,0.027071102871456844
Payment Typology 2,0.03131726036477036
Patient Disposition,0.03262958992748459
APR MDC Code,0.048234069291973734
APR Risk of Mortality,0.1079214491524707
APR MDC Description,0.1498095839187163
Birth Weight,0.2415403756533509
Payment Typology 1,0.2896094557723119
