feature,mean_importance
Type of Admission,-0.002174442430637269
Hospital County,-0.00205044967618957
Facility Name,-0.0001772205954068573
Health Service Area,0.00036571619315268756
Abortion Edit Indicator,0.0008167376257870673
Ethnicity,0.0011000756071587237
CCS Procedure Code,0.0012969095211939896
CCS Diagnosis Description,0.0014791939133110387
Zip Code - 3 digits,0.0019565569915312776
Length of Stay,0.0028190334921714077
Facility Id,0.0028821544412905853
Total Charges,0.0035606841772830135
Operating Certificate Number,0.00408309502361579
APR DRG Description,0.004334814438144474
Payment Typology 2,0.004353715364817723
CCS Procedure Description,0.004936559666993956
Race,0.00499738108941643
Emergency Department Indicator,0.007504855468389926
CCS Diagnosis Code,0.00891427075543214
Gender,0.009762896451852998
APR Medical Surgical Description,0.009835100170211363
APR Severity of Illness Description,0.009932548266652352
Total Costs,0.010475062891091458
APR Severity of Illness Code,0.01776172680197763
Patient Disposition,0.021178236493994373
Payment Typology 3,0.02540298584709628
APR DRG Code,0.025411424715738474
APR MDC Code,0.07289304529359183
APR Risk of Mortality,0.14106023881604005
APR MDC Description,0.19080893275752756
Payment Typology 1,0.3831372994699268
Birth Weight,0.9400496422519922
