feature,mean_importance
CCS Procedure Code,-0.00034772606887077673
Payment Typology 1,-0.00022616111916468062
Patient Disposition,0.0004457264885750184
Payment Typology 3,0.00045779052333713157
CCS Diagnosis Description,0.0005404402458365709
Abortion Edit Indicator,0.0006466410024907054
APR DRG Description,0.0006468259619138994
Gender,0.0006675347657712106
CCS Procedure Description,0.0006891326217232819
APR Risk of Mortality,0.0007355990674436264
APR MDC Code,0.0009219834809560984
APR Severity of Illness Description,0.0009878588172495511
APR DRG Code,0.001374322164091496
Race,0.0014676893607828117
Type of Admission,0.001961914479124188
APR Severity of Illness Code,0.002696594785909931
Ethnicity,0.003337234045395726
Payment Typology 2,0.005615916992686468
Age Group,0.005620751641315919
APR MDC Description,0.00679605029405968
Birth Weight,0.007958967655487464
CCS Diagnosis Code,0.008087304007685314
Emergency Department Indicator,0.008601379435921614
APR Medical Surgical Description,0.009926481636538979
Length of Stay,0.030098149151214053
Zip Code - 3 digits,0.03235361938384171
Facility Id,0.036687761717315234
Facility Name,0.0639339934876477
Health Service Area,0.08555999586570033
Hospital County,0.08719777988433594
Operating Certificate Number,0.13801187345841323
Total Costs,1.2098172988996876
