feature,mean_importance
CCS Procedure Code,5.551115123125783e-18
CCS Procedure Description,5.551115123125783e-18
APR Medical Surgical Description,5.551115123125783e-18
CCS Diagnosis Description,5.551115123125783e-18
CCS Diagnosis Code,5.551115123125783e-18
APR DRG Description,5.551115123125783e-18
Ethnicity,5.551115123125783e-18
APR MDC Description,5.551115123125783e-18
Type of Admission,1.1102230246251566e-17
Patient Disposition,1.1102230246251566e-17
Payment Typology 3,1.1102230246251566e-17
Payment Typology 2,1.1102230246251566e-17
Payment Typology 1,1.6653345369377347e-17
APR Risk of Mortality,1.6653345369377347e-17
Race,2.2204460492503132e-17
Age Group,2.2204460492503132e-17
Facility Id,2.2204460492503132e-17
Abortion Edit Indicator,2.2204460492503132e-17
Hospital County,2.2204460492503132e-17
Gender,2.7755575615628914e-17
Health Service Area,4.2581080190734476e-05
APR DRG Code,5.662767552536141e-05
APR MDC Code,5.968392150101365e-05
Emergency Department Indicator,9.96988670593113e-05
APR Severity of Illness Description,0.00016805299157962583
Operating Certificate Number,0.0008120492791976131
APR Severity of Illness Code,0.0010981834383525456
Length of Stay,0.0012464613034242067
Facility Name,0.0013605788323289459
Birth Weight,0.005866424361314832
Zip Code - 3 digits,0.02933638454164783
Total Costs,1.5122384133183395
